adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
C,Ag6Au6,5.627318945,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
C,Ag6Au6,5.41603289,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
C,Ag6Au6,4.979302288,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
C,Ag6Au6,4.950667341,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
C,Ag6Cd6,5.5093195,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.93,7.576234,1.302,266.3
C,Ag6Cd6,5.596425589,hollow|A_B_B|HCP,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
C,Ag6Cd6,5.497811942,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
C,Ag6Co6,2.382733535,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.88,7.88101,0.662,391.2
C,Ag6Co6,3.734145826,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
C,Ag6Co6,3.700240033,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
C,Ag6Cr6,2.507316638,hollow|A_B_B|FCC,L1_o,"['Cr', 'Cr', 'Ag']","[9, 10, 12]","['Cr', 'Cr', 'Ag', 'Ag', 'Cr', 'Cr', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,349.765,8.75,1.745518657,7.036418,0.878,328.4333333
C,Ag6Cu6,7.020413906,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3
C,Ag6Cu6,4.134827194,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9,7.72638,1.235,313.1
C,Ag6Cu6,5.193137914,hollow|A_A_B|HCP,L1_o,"['Cu', 'Ag', 'Ag']","[10, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
C,Ag6Cu6,5.078700303,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
C,Ag6Fe6,2.467728565,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8
