Adsorption Energy, d-Band Center and Width, Surface
-0.028206232,1.1495840055,Hf6V6
-0.02759969,0.9449823755000001,Cr6Hf6
-0.020136152,0.005492368000000081,Cr6Mn6
0.077084136,0.8472960405,Cr6Zr6
0.102673449,0.652844213,Tc6Y6
0.128615422,1.0351146290000002,V6Zr6
0.177241485,0.587523966,Os6Y6
0.264096549,0.8198653065000001,Re6Zr6
0.292246181,1.8143745335,Hf6Mo6
0.294637926,0.9624574284999998,Hf6Re6
0.334450221,1.5865793615000001,Cr6Ta6
0.334540971,0.9521345305,La6V6
0.336639513,2.1856349215,Ta6V6
0.347093718,0.828500632,Cr6Ti6
0.387308606,0.4022107905000001,Os6Sc6
0.398795212,0.9823181655,Mo6Zr6
0.42815371,0.5562599605,Sc6Tc6
0.439420039,2.894891372,Ta12
0.47454599,0.6532580744999998,Re6Ti6
0.493712736,0.8156714844999999,Cr6La6
0.503803942,0.9436604144999999,Cr6Nb6
0.519909544,1.3345000644999998,W6Y6
0.526317144,1.1126454855,La6Ti6
0.561387312,1.5265849795,W12
0.571370488,0.7266304765000001,Cr6Sc6
0.587037715,-0.5916037775,Cu6Hf6
0.618295023,1.0312950685,Ti6Y6
0.660295386,0.3701342649999999,Mn6W6
0.662904005,-0.3447959614999999,Fe6Hf6
0.677259507,1.7673366415,La6Ta6
0.685548911,0.07747567049999993,Fe6Ta6
0.687920655,-0.6338583089999998,Cu6Zr6
0.708916143,1.2198533575,Cr6W6
0.710603657,0.6703877449999999,Tc6Zr6
0.71299336,-0.5041728735000001,Fe6Zr6
0.728154183,1.2683819674999999,Nb12
0.734244771,0.7330119694999999,Mo6Y6
0.739325,0.441457204,Ru6Y6
0.74276724,-0.8274589184999999,Fe6Y6
0.74381379,0.8517986904999999,Cr6Re6
0.765883583,0.7653206404999999,Hf6Tc6
0.771900972,1.55055525,Re6Ta6
0.772304109,-0.31300361900000007,Mn6Zr6
0.775008784,0.8311584755000001,La6Mo6
0.775250694,2.2576325895,Hf6Ta6
0.782355178,-0.41230468899999995,Co6Y6
0.796065906,0.8029803200000001,Nb6Re6
0.807804216,1.2363351015,Sc6V6
0.821817535,0.5660253745000001,La6Tc6
0.828190305,2.097073415,Ta6Zr6
0.83620052,-1.2709420135,Ni6Zr6
0.838442738,1.5146571815,Hf6W6
0.843876579,1.6328253339999999,Hf6Y6
0.844061617,-1.375095565,Hf6Ni6
0.846466967,-0.3282934365,Co6Zr6
0.849913697,2.1112840295,Ta6Y6
0.850687044,2.4271084745,Ta6W6
0.85265606,-0.0758422259999999,Mn6Nb6
0.859268562,1.9972525104999999,Sc6Ta6
0.859952929,1.2348641295,Sc6W6
0.865816166,1.3354844315,Nb6Y6
0.871421847,0.6115067219999999,Cr6Tc6
0.87177369,0.634174918,Re6V6
0.881301892,0.4821035774999999,Mn6Ta6
0.88328084,1.141165849,V12
0.904207891,-0.3467666289999999,Co6Hf6
0.907120053,-0.847857815,Mn6Y6
0.916639275,2.1829184155,Nb6Ta6
0.919152927,1.3701391129999998,W6Zr6
0.920388188,1.2422134109999998,Sc6Ti6
0.930602661,1.5157063140000002,Hf6La6
0.931442132,1.3365684185,Nb6W6
0.943558137,0.4449676895000001,Tc6Ti6
0.943924402,1.4941739330000001,Hf6Ti6
0.944078146,-0.4177935964999999,Co6Sc6
0.94797332,1.1050424665,La6Nb6
0.950402208,1.8334240135,Hf12
0.960501985,0.2350733359999999,Ru6Sc6
0.967880216,1.9032453585,Ta6Ti6
0.976904735,1.3092695119999997,Re6W6
0.977673185,1.0170385845,Cr12
0.981514752,1.2656035204999998,Mo6W6
